review_id,sentence_id,Time,sentence_type,sentence
246,198,2012-11-23 00:00:00,s,"""""Best company to work for in the world. I'm blessed to be working for Google."""""
246,199,2012-11-23 00:00:00,p,"""Perks, opportunities, work environment. I'm extremely fortunate to be working for Google. The company's value system is highly appreciated across. It's an equal opportunity employer."""
246,200,2012-11-23 00:00:00,c,"""Slow growth in terms of roles, It's hard to fill in this space with 20 words as there are not many cons. career development is the only area where I feel they should make some changes."""
248,202,2012-11-25 00:00:00,s,"""""Awesome"""""
248,203,2012-11-25 00:00:00,p,"""Great job satisfation, opportunity to learn employee friendly policies, global exposure."""
245,205,2012-12-15 00:00:00,s,"""""Great place"""""
245,206,2012-12-15 00:00:00,p,"""* Great perks and compensation * Good growth opportunities"""
244,208,2012-12-17 00:00:00,s,"""""Truly the best employer to work for"""""
244,209,2012-12-17 00:00:00,p,"""Working Culture is great Talent Peer Healthy competition"""
241,211,2012-12-18 00:00:00,s,"""""If you thought Google was good, it's better than that."""""
241,212,2012-12-18 00:00:00,p,"""Best food ever, friendly and intelligent colleagues who could become close friends, Beautiful office, cabs to pick you up and drop you, opportunity to apply for IJPs often."""
241,213,2012-12-18 00:00:00,c,"""Monotonous work initially. Very little learning from the initial work. You need to get a new role before you can start learning more."""
243,215,2013-01-07 00:00:00,s,"""""Wonderful 5 years working at Google, stagnant since the last 2 years"""""
243,216,2013-01-07 00:00:00,p,"""Great company, awesome products, Wonderful culture, great work life balance,"""
242,218,2013-01-09 00:00:00,s,"""""Working at Google"""""
242,219,2013-01-09 00:00:00,p,"""Great opportunities for career development"""
242,220,2013-01-09 00:00:00,c,"""None, I had a great time at Google"""
240,222,2013-01-13 00:00:00,s,"""""Lot of freedom, open atmosphere"""""
240,223,2013-01-13 00:00:00,p,"""great work culture/ atmosphere, food, work space, smart and interesting people."""
240,224,2013-01-13 00:00:00,c,"""Not much I can think of."""
239,226,2013-01-16 00:00:00,s,"""""Excellent company to work"""""
239,227,2013-01-16 00:00:00,p,"""- Work life balance - Benefits and perks - You are in charge of your career"""
239,228,2013-01-16 00:00:00,c,"""- Getting harder to be in remote office with less oppurtunities"""
238,230,2013-01-21 00:00:00,s,"""""Account Strategist"""""
238,231,2013-01-21 00:00:00,p,"""One of the best companies to work with - impressed with the transparency and integrity in values!"""
238,232,2013-01-21 00:00:00,c,"""Confined career ladder makes it difficult to think ahead."""
237,234,2013-03-06 00:00:00,s,"""""good interesting with a bit of fun and struggle both at the same time"""""
237,235,2013-03-06 00:00:00,p,"""interesting work good interesting with a bit of fun and struggle both at the same time"""
237,236,2013-03-06 00:00:00,c,"""not so good team members"""
236,238,2013-03-16 00:00:00,s,"""""Good Work environment, but they projects are not interesting"""""
236,239,2013-03-16 00:00:00,p,"""Good Food, perks, everything is perfect, except the work"""
235,241,2013-04-06 00:00:00,s,"""""One of the best company to work for"""""
235,242,2013-04-06 00:00:00,p,"""Values people. Has a clear mission statement"""
235,243,2013-04-06 00:00:00,c,"""Internally competitive as most of the employees are smart"""
234,245,2013-04-25 00:00:00,s,"""""good one"""""
234,246,2013-04-25 00:00:00,p,"""no commitments. You are at your own pace to win your race"""
234,247,2013-04-25 00:00:00,c,"""long term stay is a question due to office politics"""
